Name,URL
Katalog Offene Daten Ã–sterreich,http://offener.datenkatalog.at/
National Hydrometeorological Department,http://eco.gov.az/
State Statistical Committee,http://stat.gov.az
Bangladesh Bureau Of Statistics,http://bbs.gov.bd
Meteorological Services,http://barbadosweather.org/
Department Of Geodesy And Cartography,http://belgeodesy.by/
National Meteorological Service,http://hydromet.gov.bz/
Mnrei,http://mnrei.gov.bz
Land Valuation Department,http://landvaluation.bm
Department Of Geology And Mines,http://moea.gov.bt/departments/department.php?id=3
Servicio GeolÃ³gico Minero,http://sergeotecmin.gob.bo
Agencija Za Statistiku,http://bhas.ba
Meteorological Institute,http://fhmzbih.gov.ba/
Dados Abertos Emap,http://ckan.emap.fgv.br
Statistics Unit,http://www.gov.je/government/jerseyworld/statisticsunit
Bugarian Geological Society,http://bgd.bg
Geological Institute,http://geology.bas.bg
Institut National De La Statistique Et De La Demographie,http://insd.bf
Institut De Statistiques Et Dâ€™Ã©tudes Economiques Du Burundi,http://isteebu.bi
Department Of Meteorology,http://mbodiameteo.com
Administrative Map,http://minatd.cm/gov/site/en/le-ministere/a-propos/carte-administrative
Institut National De La Statistique,http://statistics-cameroon.org
"Calgary, Alberta",http://calgaryonlinestore.com/publicdata.asp
"Chatham-kent, On",http://chatham-kent.ca/sp_training/opendata/pages/datacatalogue.aspx
"Grande Prairie No. 1, Alberta",http://data.countygp.ab.ca/
"Red Deer, Alberta",http://data.reddeer.ca/
Strathcona County,http://data.strathcona.ca/
"Vancouver, British Columbia",http://data.vancouver.ca/datacatalogue/index.htm
British Columbia Geological Survey,http://empr.gov.bc.ca/mining/geoscienc
"Gatineau, Qc Open Data",http://gatineau.ca/donneesouvertes/
Geobc,http://geobc.gov.bc.ca
"Halifax Regional Municipality, Ns Open Data",http://halifaxopendata.ca/
"Hamilton, On Open Data",http://hamilton.ca/projectsinitiatives/opendata/
"Niagara, On Open Data",http://niagarafalls.ca/services/open/data
Canadian Government Open Data,http://open.canada.ca
"Region Of Peel, Ontario",http://opendata.peelregion.ca/
City Of Waterloo,http://opendata.waterloo.ca/
"Regina, Sk Open Data",http://regina.ca/residents/open-government/data/
Regional District Central Okanagan Gis,http://regionaldistrict.com/services/gis/
"Surrey, Bc Open Data",http://surrey.ca/city-services/658.aspx
Commission De Toponymie - Quebec,http://toponymie.gouv.qc.ca
"Victoria, Bc Open Data",http://victoria.ca/en/main/city/open-data-catalogue.html
"Welland, On Opendata",http://welland.ca/open/
"Fredericton, New Brunswick",http://www.fredericton.ca/en/citygovernment/datamain.asp
"London, Ontario",http://www.london.ca/d.aspx?s=/open_data/data_catalogue.htm
"Niagara Falls, Ontario",http://www.niagarafalls.ca/services/open/data
"Niagara Region, Ontario",http://www.niagararegion.ca/government/opendata/default.aspx
"Region Of Waterloo, Ontario",http://www.regionofwaterloo.ca/opendata
"Strathcona, Ab Elections",http://www.strathcona.ca/local-government/strathcona-county-elections/election-2013-open-data/
"Vernon, Bc - Gis",http://www.vernon.ca/map/data_catalogue.html
African Development Bank Group Open Data,http://chad.opendataforafrica.org/
Instituto Nacional De EstadÃ­stica De Chile,http://ine.cl
Lima Open Data,http://lima.datosabiertos.pe/home/
Criik,http://www.criik.com/
Hong Kong Observatory,http://hko.gov.hk
Dalian Municipal Government Information Service,http://zwgk.dl.gov.cn/
Servicio GeolÃ³gico Colombiana,http://sgc.gov.co
Croatian Gazetteer Service,http://cgn.dgu.hr/
Bureau Of Statistics,http://dzs.hr
Crotian Geological Society,http://geologija.hr/
Geoportal,http://geoportal.dgu.hr
Geological Survey Department,http://moa.gov.cy/gsd
Meteorological Service,http://moa.gov.cy/ms
Statistics Service,http://mof.gov.cy/mof/cystat/statistics.nsf
Danish Government Open Data,http://odaa.dk
African Development Bank Group Open Data,http://dhibouti.opendataforafrica.org/
National Registration Center,http://cnr.gob.sv
Birmingham Open Data,http://www.birmingham.gov.uk/open-data
Datagm,http://www.datagm.org.uk
DirecciÃ³n General De EstadÃ­stica Y Cuentas Nacionales,http://dgecnstat-ge.org
Estonian Government Open Data,http://opendata.ee
Central Statistics Agency,http://csa.gov.et
